inventory_id,product_id,movement_type,movement_qty,movement_date
123,2642,IN,21,2023-09-17
124,2916,OUT,21,2024-01-26
125,4245,IN,48,2023-10-31
126,297,OUT,62,2024-02-23
127,4862,IN,4,2024-12-04
128,4148,IN,17,2024-10-08
129,2456,OUT,32,2023-03-30
130,2016,IN,3,2023-08-20
131,4344,IN,96,2024-07-11
132,2189,OUT,53,2023-09-16
133,1175,OUT,16,2023-10-21
134,1755,IN,34,2024-03-23
135,4973,IN,73,2024-04-15
136,3052,OUT,34,2024-08-12
137,2713,OUT,52,2023-03-15
138,2542,IN,77,2024-02-12
139,965,IN,10,2024-04-15
140,942,IN,78,2023-12-26
141,199,OUT,93,2023-11-04
142,1459,IN,18,2023-01-23
143,4177,OUT,56,2023-05-04
144,2916,IN,83,2024-10-09
145,1123,IN,15,2024-07-21
146,3613,IN,83,2023-07-22
147,2423,OUT,59,2023-05-06
148,3444,IN,21,2023-07-22
149,3258,OUT,48,2024-04-27
150,388,OUT,33,2024-12-02
151,3342,OUT,20,2024-12-19
152,3007,IN,68,2024-03-31
153,4539,IN,82,2024-06-17
154,1177,IN,69,2024-02-22
155,3353,OUT,93,2023-04-14
156,2524,IN,28,2024-05-08
157,1219,IN,50,2023-05-06
158,1302,IN,18,2023-01-07
159,220,IN,54,2024-07-04
160,898,OUT,20,2024-03-22
161,4805,IN,48,2023-11-23
162,4113,IN,29,2024-08-21
163,333,IN,59,2023-03-31
164,2393,IN,67,2024-10-13
165,1279,OUT,57,2024-02-23
166,1663,IN,93,2024-10-31
167,2886,OUT,78,2023-02-22
168,729,OUT,43,2024-03-20
169,4669,IN,52,2024-03-08
170,2573,OUT,42,2024-09-25
171,2798,IN,78,2023-09-01
172,727,OUT,49,2024-08-07
173,1915,OUT,54,2024-01-14
174,3853,IN,45,2024-07-28
175,3782,OUT,82,2023-09-06
176,4663,IN,55,2023-11-05
177,1321,OUT,22,2023-02-05
178,4493,IN,1,2023-07-24
179,4564,IN,86,2023-09-21
180,459,IN,96,2023-02-24
181,2273,IN,41,2024-05-26
182,517,IN,56,2024-06-11
183,639,OUT,8,2024-02-24
184,1211,IN,78,2023-07-09
185,1272,OUT,1,2024-06-08
186,1253,OUT,72,2023-07-13
187,1229,IN,28,2024-02-27
188,2060,IN,27,2024-10-04
189,158,IN,40,2023-03-17
190,3856,OUT,15,2023-10-07
191,923,OUT,40,2023-11-12
192,1342,OUT,80,2023-07-18
193,1522,IN,10,2024-01-04
194,758,IN,47,2023-11-03
195,4743,OUT,80,2024-04-16
196,3804,OUT,20,2023-07-23
197,1199,IN,18,2023-10-20
198,3934,IN,94,2023-02-16
199,4742,OUT,33,2024-12-07
200,333,IN,17,2023-05-02
201,69,OUT,94,2024-02-23
202,109,OUT,92,2024-04-12
203,60,OUT,78,2023-05-28
204,1476,OUT,86,2023-01-19
205,121,IN,35,2023-06-22
206,1861,OUT,84,2023-05-15
207,2282,IN,49,2024-10-09
208,1371,OUT,84,2023-04-10
209,3254,OUT,72,2023-10-19
210,2524,OUT,82,2023-08-21
211,3744,OUT,90,2024-02-24
212,1681,IN,37,2023-12-09
213,1307,IN,74,2024-11-24
214,1212,OUT,21,2023-03-29
215,1265,OUT,24,2024-12-29
216,3576,IN,5,2023-09-18
217,1852,OUT,61,2024-12-12
218,4008,IN,81,2024-10-23
219,989,IN,61,2024-10-16
220,2940,IN,34,2023-03-27
221,1597,OUT,44,2024-11-27
222,299,OUT,64,2024-02-07
223,1893,OUT,42,2024-05-15
224,1319,OUT,75,2023-09-22
225,2215,OUT,12,2023-07-03
226,2245,IN,95,2023-05-12
227,3574,OUT,90,2024-06-29
228,51,IN,43,2023-01-25
229,1314,IN,66,2023-11-19
230,3323,IN,62,2024-01-09
231,1360,OUT,12,2023-11-27
232,1098,IN,45,2023-07-03
233,22,IN,46,2024-12-30
234,3679,OUT,19,2024-09-14
235,3854,IN,97,2023-05-20
236,4884,IN,24,2024-10-01
237,4947,IN,9,2024-04-29
238,3505,IN,70,2023-04-13
239,994,OUT,41,2023-11-26
240,2554,IN,70,2024-11-01
241,74,OUT,32,2023-11-20
242,1271,OUT,55,2024-04-17
243,4382,OUT,6,2024-02-22
244,1101,IN,79,2023-08-20
245,4974,IN,55,2024-10-31
246,2259,OUT,38,2024-09-24
247,1471,OUT,83,2023-12-20
248,1945,OUT,76,2023-03-28
249,3256,IN,59,2023-01-14
250,173,OUT,19,2024-08-30
251,3081,IN,68,2024-08-10
252,4752,IN,29,2024-07-24
253,21,IN,39,2024-02-23
254,2520,IN,4,2023-08-29
255,1799,OUT,36,2023-01-25
256,2045,IN,69,2024-10-23
257,917,OUT,87,2023-06-24
258,3109,OUT,52,2024-02-12
259,318,OUT,60,2023-05-21
260,852,OUT,13,2023-04-22
261,429,OUT,15,2023-02-23
262,3623,OUT,55,2024-12-18
263,2862,OUT,97,2024-06-04
264,1968,IN,36,2024-12-02
265,319,IN,27,2023-03-09
266,4214,IN,95,2024-03-31
267,485,IN,35,2023-10-10
268,4815,OUT,3,2023-12-02
269,587,IN,83,2024-10-20
270,800,IN,67,2023-07-13
271,3777,OUT,91,2023-04-05
272,3876,IN,56,2023-09-23
273,4203,OUT,73,2023-08-24
274,909,OUT,81,2024-05-05
275,4451,IN,50,2024-06-30
276,4853,IN,40,2023-07-12
277,3435,OUT,31,2023-02-10
278,230,OUT,51,2023-02-04
279,2315,IN,25,2024-12-12
280,122,OUT,4,2024-08-30
281,4632,OUT,37,2023-05-20
282,3451,OUT,70,2023-04-09
283,1871,IN,79,2024-07-31
284,151,OUT,92,2023-08-31
285,298,IN,22,2024-03-26
286,4700,OUT,54,2024-01-18
287,2520,OUT,56,2023-04-16
288,4481,IN,42,2024-07-10
289,1318,IN,75,2023-10-04
290,1136,OUT,75,2023-07-16
291,236,IN,3,2023-03-15
292,1104,OUT,12,2023-03-10
293,3915,OUT,38,2024-12-05
294,3259,IN,36,2023-07-11
295,1118,OUT,3,2024-12-18
296,4853,IN,89,2024-10-23
297,830,OUT,90,2023-09-05
298,3189,IN,21,2023-07-06
299,2812,IN,71,2024-05-12
300,395,IN,38,2024-05-11
301,1382,OUT,54,2023-01-11
302,396,IN,94,2023-12-18
303,3875,IN,17,2023-10-23
304,4006,OUT,6,2023-11-11
305,4412,OUT,79,2024-09-03
306,3134,IN,60,2024-04-08
307,398,IN,4,2024-01-20
308,2348,IN,30,2023-09-16
309,2850,OUT,7,2023-08-12
310,454,OUT,75,2024-01-08
311,1431,IN,45,2024-09-29
312,3479,OUT,84,2024-05-23
313,4587,IN,24,2024-02-04
314,2187,IN,63,2023-02-02
315,492,IN,65,2024-08-18
316,775,OUT,40,2024-08-26
317,1333,OUT,40,2023-12-08
318,3354,IN,27,2024-01-02
319,3498,OUT,45,2023-12-27
320,3846,IN,81,2023-06-10
321,701,IN,44,2024-07-14
322,1716,OUT,36,2023-11-22
323,655,OUT,42,2023-10-08
324,4847,IN,64,2023-02-10
325,3997,IN,33,2024-10-27
326,1392,IN,72,2024-05-20
327,3497,OUT,35,2024-08-08
328,1579,IN,46,2024-09-15
329,3929,IN,2,2023-09-18
330,965,IN,62,2024-09-24
331,4835,IN,48,2023-05-18
332,2957,OUT,66,2023-09-30
333,1649,OUT,90,2023-08-31
334,514,IN,83,2024-03-11
335,1219,IN,3,2023-07-08
336,1926,IN,27,2023-03-29
337,2935,IN,86,2024-01-30
338,2421,IN,1,2023-05-11
339,88,OUT,78,2024-09-06
340,1470,OUT,58,2024-03-30
341,641,OUT,86,2024-12-27
342,2327,IN,57,2024-08-25
343,3608,IN,56,2024-04-29
344,3899,OUT,16,2023-09-09
345,2910,IN,25,2024-05-04
346,4144,OUT,16,2024-12-15
347,77,OUT,7,2024-10-01
348,4008,IN,16,2024-01-10
349,2304,OUT,28,2023-09-14
350,3664,OUT,85,2023-08-04
351,4086,IN,53,2023-11-05
352,1785,IN,2,2023-10-24
353,2706,OUT,27,2024-08-07
354,4838,OUT,52,2024-10-18
355,1270,OUT,68,2024-09-29
356,3892,IN,79,2023-11-26
357,1603,IN,55,2024-11-22
358,2551,OUT,15,2024-09-11
359,2790,OUT,31,2024-10-17
360,477,IN,85,2024-10-25
361,1987,IN,78,2024-02-19
362,4527,IN,57,2024-11-10
363,1017,IN,89,2023-02-28
364,1984,IN,11,2023-08-11
365,4542,OUT,7,2024-01-31
366,4764,OUT,11,2023-01-28
367,2580,OUT,4,2024-12-04
368,2019,IN,69,2024-08-20
369,4100,OUT,88,2023-05-06
370,2030,OUT,25,2023-09-23
371,4002,IN,2,2023-05-02
372,2356,OUT,37,2023-11-09
373,4435,OUT,86,2024-05-08
374,354,IN,16,2024-11-25
375,3757,OUT,57,2023-07-01
376,2013,OUT,29,2024-09-27
377,3894,IN,56,2024-11-12
378,4840,OUT,1,2023-09-16
379,5,OUT,32,2023-08-10
380,590,OUT,23,2023-06-26
381,976,IN,89,2023-03-04
382,553,IN,94,2023-11-08
383,4810,IN,70,2023-07-30
384,3157,IN,13,2024-07-16
385,509,OUT,85,2023-06-16
386,4798,OUT,77,2023-09-01
387,1683,IN,83,2024-10-01
388,3186,IN,81,2023-06-23
389,4307,IN,67,2023-08-07
390,3420,IN,14,2024-03-14
391,4724,OUT,95,2023-07-29
392,140,OUT,85,2024-11-16
393,1707,OUT,15,2024-09-30
394,1667,OUT,24,2024-11-09
395,263,IN,95,2023-02-20
396,4894,OUT,23,2023-01-13
397,722,IN,84,2023-04-15
398,1477,OUT,36,2023-06-28
399,4032,IN,15,2023-11-28
400,924,OUT,97,2024-08-23
401,4455,OUT,64,2023-07-30
402,4945,IN,39,2024-10-01
403,4586,IN,91,2023-09-10
404,4502,IN,29,2024-07-25
405,1617,IN,44,2024-12-02
406,3402,OUT,2,2023-02-05
407,2997,OUT,68,2024-08-29
408,1306,IN,77,2024-06-13
409,4977,OUT,5,2024-08-25
410,1050,OUT,89,2023-06-04
411,3896,OUT,3,2024-08-14
412,1293,OUT,96,2023-12-23
413,2856,OUT,2,2023-08-21
414,3336,OUT,13,2023-04-18
415,1266,IN,21,2024-05-19
416,2353,IN,86,2023-01-08
417,1940,OUT,56,2023-07-27
418,4309,IN,54,2024-07-05
419,4468,OUT,33,2024-01-09
420,923,OUT,72,2023-06-04
421,1149,OUT,82,2023-07-06
422,4970,IN,49,2023-02-18
423,1095,OUT,4,2023-06-22
424,55,OUT,58,2023-07-17
425,2991,IN,99,2024-05-17
426,2887,OUT,88,2024-02-19
427,3495,IN,13,2024-10-03
428,4091,OUT,34,2023-09-22
429,4165,OUT,51,2024-05-08
430,2515,IN,68,2023-10-05
431,1598,OUT,37,2024-11-26
432,2405,OUT,54,2024-02-22
433,344,OUT,20,2023-12-27
434,4830,IN,56,2024-11-07
435,3822,IN,27,2023-02-22
436,1074,IN,19,2023-11-21
437,4094,OUT,83,2023-05-24
438,4654,IN,20,2024-08-20
439,2131,IN,87,2024-03-07
440,4888,IN,16,2023-05-09
441,292,IN,3,2023-11-28
442,91,OUT,95,2024-09-14
443,752,OUT,40,2024-08-23
444,266,IN,73,2024-02-15
445,1873,OUT,48,2024-12-14
446,3320,OUT,41,2024-09-23
447,1197,IN,21,2023-05-01
448,2492,IN,26,2023-08-27
449,1477,OUT,31,2024-09-19
450,2479,IN,64,2023-09-19
451,2886,OUT,70,2023-09-29
452,2380,OUT,32,2024-11-07
453,1511,IN,26,2024-02-06
454,966,OUT,90,2023-05-01
455,1691,IN,24,2024-01-27
456,4099,OUT,45,2024-04-28
457,1787,OUT,26,2023-02-05
458,4097,OUT,95,2024-03-30
459,2558,OUT,81,2024-04-15
460,4113,OUT,67,2023-07-04
461,3974,IN,46,2024-07-20
462,547,OUT,58,2023-01-23
463,3255,IN,36,2023-03-11
464,47,IN,33,2023-07-31
465,107,OUT,57,2023-12-31
466,1337,IN,32,2024-08-25
467,4503,IN,25,2024-05-28
468,4001,IN,89,2023-01-31
469,3286,OUT,32,2023-05-16
470,3626,IN,22,2024-06-24
471,3442,IN,82,2023-03-11
472,3362,OUT,28,2023-03-31
473,3162,IN,26,2024-06-16
474,3074,IN,59,2023-11-03
475,587,IN,12,2023-12-15
476,4479,IN,84,2024-02-16
477,1925,IN,40,2024-09-29
478,327,OUT,34,2023-03-31
479,3079,IN,64,2024-08-15
480,712,OUT,89,2024-09-20
481,4980,IN,36,2023-09-11
482,2569,OUT,37,2024-11-26
483,2777,IN,65,2023-09-20
484,2932,OUT,61,2023-05-05
485,4689,IN,28,2024-12-22
486,2280,OUT,5,2023-02-22
487,4116,IN,52,2024-03-09
488,2097,OUT,64,2024-11-04
489,1636,OUT,37,2024-03-07
490,828,IN,14,2023-10-04
491,1083,OUT,3,2024-02-21
492,2394,IN,13,2023-08-02
493,4848,OUT,64,2024-11-06
494,1137,OUT,3,2024-09-19
495,772,OUT,28,2024-04-11
496,3048,IN,3,2024-10-07
497,806,IN,87,2024-01-23
498,3224,IN,44,2023-07-13
499,3990,IN,4,2024-06-26
500,2030,OUT,76,2024-07-07
501,4831,IN,75,2023-03-31
502,4344,OUT,8,2023-11-20
503,228,IN,95,2024-01-14
504,3441,OUT,96,2024-03-13
505,503,IN,79,2023-06-10
506,1029,OUT,93,2023-06-02
507,3237,OUT,82,2024-10-11
508,2685,OUT,30,2023-04-14
509,91,IN,16,2024-04-30
510,2897,OUT,75,2024-01-05
511,1205,OUT,17,2023-07-23
512,3475,IN,87,2024-09-13
513,2261,IN,66,2023-09-07
514,4119,OUT,36,2023-10-24
515,2695,OUT,65,2023-08-26
516,2705,IN,83,2023-12-05
517,4173,OUT,71,2023-10-18
518,1495,IN,9,2024-11-09
519,863,IN,83,2023-12-27
520,1359,OUT,27,2024-10-30
521,574,OUT,14,2024-11-28
522,1489,IN,19,2023-07-10
523,3285,OUT,41,2023-02-20
524,1586,IN,65,2023-04-06
525,591,IN,47,2024-05-15
526,314,OUT,57,2024-08-22
527,3003,OUT,8,2024-10-27
528,1074,IN,48,2024-01-11
529,2375,OUT,81,2023-09-17
530,11,OUT,83,2023-03-22
531,2257,IN,7,2024-12-06
532,3747,OUT,50,2024-11-07
533,2514,OUT,80,2024-04-07
534,3067,IN,80,2024-08-06
535,2864,OUT,10,2023-07-14
536,1670,IN,73,2023-01-11
537,353,IN,90,2023-12-22
538,352,IN,98,2024-04-06
539,3104,OUT,7,2024-02-25
540,1540,OUT,41,2024-01-15
541,4407,IN,90,2023-09-30
542,4623,OUT,91,2024-09-04
543,384,OUT,85,2024-11-20
544,1931,IN,34,2023-12-15
545,4018,OUT,51,2024-11-21
546,1466,IN,56,2023-01-06
547,305,IN,13,2024-05-22
548,3011,IN,31,2024-08-19
549,3043,IN,81,2024-05-04
550,166,OUT,99,2024-08-31
551,3490,OUT,20,2024-12-16
552,2503,OUT,19,2024-10-18
553,150,IN,12,2024-03-22
554,4010,IN,41,2023-04-14
555,1692,OUT,52,2023-06-11
556,3257,IN,29,2023-09-27
557,30,IN,73,2024-01-11
558,3897,OUT,46,2024-09-23
559,4513,OUT,71,2023-02-10
560,1647,OUT,46,2023-11-09
561,191,OUT,15,2023-09-28
562,1906,IN,4,2023-12-09
563,1696,IN,49,2023-03-08
564,811,OUT,31,2024-02-24
565,2243,IN,74,2023-04-13
566,4439,OUT,96,2023-08-27
567,1936,OUT,16,2023-03-19
568,4625,IN,36,2023-05-16
569,1149,IN,46,2024-08-10
570,4613,IN,90,2023-12-13
571,1407,IN,32,2023-09-13
572,3742,OUT,28,2024-05-06
573,635,OUT,73,2024-06-07
574,3521,IN,51,2024-01-28
575,3274,OUT,34,2024-01-24
576,1510,OUT,82,2024-09-01
577,3050,OUT,89,2023-11-02
578,1220,OUT,48,2023-05-11
579,1585,IN,95,2024-12-19
580,77,IN,91,2024-02-29
581,483,OUT,13,2023-09-28
582,2732,IN,50,2023-10-10
583,4179,OUT,74,2024-02-09
584,1923,IN,92,2024-12-23
585,2215,IN,25,2024-07-30
586,4563,OUT,62,2024-06-02
587,1672,OUT,67,2024-06-13
588,4770,OUT,57,2023-10-29
589,2553,OUT,62,2023-03-11
590,2497,IN,34,2023-10-30
591,3516,OUT,85,2023-06-01
592,4721,IN,38,2023-05-04
593,3657,IN,51,2024-06-26
594,843,OUT,55,2023-12-13
595,4778,OUT,38,2023-07-24
596,4170,OUT,42,2023-09-29
597,119,IN,28,2023-07-04
598,4741,IN,77,2023-03-16
599,3846,OUT,81,2023-11-13
600,3959,IN,91,2024-06-14
601,4133,OUT,83,2023-11-25
602,4671,OUT,32,2023-09-30
603,2360,OUT,69,2024-11-06
604,1741,OUT,8,2023-07-13
605,2062,IN,23,2024-07-20
606,1379,OUT,21,2024-05-13
607,1655,OUT,32,2023-10-10
608,3365,IN,43,2024-07-05
609,528,OUT,32,2024-01-09
610,4678,IN,20,2024-07-22
611,2039,IN,12,2023-07-05
612,364,OUT,88,2023-09-05
613,592,OUT,17,2024-09-02
614,2388,OUT,99,2024-03-15
615,1384,OUT,9,2023-09-09
616,4698,OUT,87,2023-01-26
617,4823,IN,76,2023-08-02
618,3142,OUT,68,2024-06-09
619,4557,OUT,14,2024-09-30
620,3774,OUT,50,2023-11-15
621,1446,IN,97,2024-04-02
622,1823,OUT,68,2024-06-16
623,507,OUT,96,2023-04-03
624,3211,IN,59,2024-10-26
625,3263,IN,70,2024-08-13
626,4428,OUT,81,2024-12-04
627,2551,OUT,72,2023-09-22
628,3858,IN,18,2024-09-12
629,1786,OUT,98,2024-12-27
630,1092,IN,36,2024-03-14
631,2822,OUT,72,2024-03-05
632,253,OUT,83,2024-01-02
633,898,IN,93,2024-11-27
634,374,OUT,29,2024-10-12
635,3667,OUT,94,2023-09-19
636,1383,IN,29,2023-09-24
637,3287,IN,54,2024-09-03
638,3870,OUT,18,2024-07-30
639,2996,IN,71,2024-01-10
640,1296,IN,33,2024-11-26
641,3593,IN,89,2024-10-26
642,4205,OUT,64,2024-11-07
643,2394,OUT,8,2024-04-27
644,2096,IN,80,2024-05-28
645,4905,IN,31,2023-10-27
646,4515,OUT,58,2024-02-21
647,407,OUT,57,2024-11-26
648,2097,IN,42,2023-07-25
649,1813,IN,1,2024-12-28
650,3695,OUT,79,2024-12-30
651,3630,IN,95,2023-04-22
652,3456,OUT,55,2024-06-10
653,1210,OUT,28,2024-01-10
654,2609,IN,56,2023-02-05
655,2030,IN,85,2023-07-29
656,129,IN,79,2023-11-12
657,614,OUT,16,2024-02-04
658,1255,OUT,34,2024-01-28
659,4197,IN,86,2024-12-04
660,3640,IN,13,2024-10-19
661,4945,IN,69,2023-09-14
662,3127,IN,45,2024-01-14
663,340,IN,46,2024-01-10
664,4215,IN,2,2023-10-09
665,2958,IN,43,2024-11-08
666,2094,IN,28,2024-10-12
667,4733,OUT,2,2023-02-25
668,3063,IN,17,2023-07-20
669,2602,IN,29,2023-11-01
670,4768,IN,5,2023-08-05
671,1503,IN,38,2023-10-04
672,472,IN,4,2024-09-10
673,4392,IN,30,2024-08-23
674,3972,OUT,49,2024-11-18
675,220,OUT,73,2023-09-01
676,1974,IN,22,2023-01-29
677,1813,IN,83,2023-10-09
678,2182,OUT,19,2024-01-11
679,2059,OUT,12,2024-03-20
680,195,OUT,36,2024-07-05
681,3748,IN,87,2023-11-29
682,1959,OUT,97,2023-03-06
683,921,IN,12,2023-08-17
684,3636,OUT,28,2024-03-28
685,3429,OUT,8,2023-12-16
686,1526,IN,59,2024-08-08
687,3496,IN,70,2023-09-27
688,2905,OUT,88,2024-08-14
689,4750,OUT,62,2023-06-12
690,4326,IN,34,2023-04-02
691,423,IN,25,2024-05-22
692,1592,OUT,66,2023-06-03
693,3636,IN,79,2023-04-21
694,1865,IN,18,2024-01-01
695,1960,OUT,91,2024-03-17
696,538,OUT,20,2023-09-05
697,1610,IN,71,2023-07-25
698,471,IN,45,2024-06-25
699,400,IN,62,2024-06-21
700,4621,OUT,39,2023-02-18
701,1219,IN,86,2024-10-16
702,3017,IN,59,2023-02-22
703,4397,OUT,19,2023-01-04
704,4008,OUT,43,2023-03-24
705,3784,OUT,31,2024-09-24
706,2049,OUT,38,2024-03-05
707,1329,IN,89,2023-02-17
708,3210,IN,86,2023-09-29
709,4842,IN,70,2023-02-12
710,3800,OUT,87,2023-12-16
711,4456,OUT,67,2024-04-09
712,826,OUT,13,2024-05-17
713,3790,IN,42,2023-01-27
714,2764,IN,64,2024-07-13
715,1708,OUT,64,2024-07-01
716,962,OUT,1,2023-08-20
717,4787,IN,67,2024-12-15
718,3138,OUT,47,2023-07-23
719,4785,OUT,90,2024-11-09
720,1786,IN,2,2024-08-15
721,426,OUT,12,2024-01-19
722,152,OUT,60,2024-03-08
723,987,OUT,70,2023-02-13
724,3287,IN,51,2024-10-14
725,2807,OUT,37,2023-12-05
726,376,OUT,81,2023-09-26
727,3904,OUT,90,2023-03-04
728,4778,IN,82,2024-09-23
729,4379,OUT,53,2023-06-24
730,4996,IN,23,2023-06-17
731,4511,OUT,89,2024-10-06
732,220,IN,70,2023-12-21
733,1770,OUT,10,2023-10-05
734,4864,IN,48,2023-02-28
735,3204,IN,98,2023-12-24
736,984,OUT,70,2023-08-11
737,3932,OUT,82,2023-10-12
738,4202,IN,80,2024-07-30
739,2999,IN,21,2024-02-03
740,2090,IN,71,2023-04-11
741,4535,OUT,79,2023-05-31
742,10,OUT,2,2024-07-09
743,1721,OUT,68,2023-06-27
744,4717,OUT,11,2023-03-28
745,2107,IN,13,2023-08-19
746,165,IN,42,2023-07-24
747,2650,IN,98,2024-07-10
748,708,OUT,69,2023-03-26
749,2053,IN,78,2023-10-28
750,2521,OUT,56,2023-06-03
751,1716,OUT,67,2024-09-09
752,4342,IN,22,2024-04-24
753,1893,OUT,34,2024-11-03
754,1581,IN,31,2024-05-07
755,4439,OUT,18,2023-04-03
756,2082,IN,49,2024-08-27
757,4174,OUT,82,2024-04-26
758,105,IN,53,2024-10-22
759,4984,IN,54,2024-10-15
760,2962,OUT,61,2023-03-22
761,2725,IN,8,2024-12-23
762,2814,IN,83,2024-11-14
763,4233,OUT,24,2024-09-24
764,4274,IN,75,2023-01-12
765,1920,OUT,73,2023-08-21
766,1358,IN,90,2023-07-23
767,4962,OUT,90,2023-08-19
768,1982,IN,72,2023-05-22
769,4666,OUT,81,2024-09-25
770,4806,IN,7,2024-05-19
771,577,IN,14,2023-05-19
772,768,IN,73,2024-05-30
773,1953,IN,11,2024-02-13
774,319,OUT,86,2024-03-07
775,1938,OUT,24,2024-06-21
776,4086,OUT,41,2023-06-29
777,4585,OUT,98,2023-10-04
778,4996,IN,98,2023-06-19
779,2617,OUT,4,2024-07-14
780,1448,IN,82,2023-10-22
781,1096,IN,18,2023-06-05
782,2483,IN,10,2024-09-26
783,3624,OUT,55,2023-01-09
784,1395,IN,95,2024-12-11
785,1847,IN,40,2024-08-28
786,1994,OUT,31,2023-04-28
787,4693,OUT,43,2023-11-18
788,2945,OUT,26,2024-08-22
789,2235,IN,68,2024-12-25
790,2934,OUT,41,2023-07-11
791,1763,OUT,39,2024-08-16
792,1373,IN,98,2023-09-16
793,2376,IN,17,2023-02-13
794,4263,IN,25,2024-01-18
795,942,IN,84,2024-03-23
796,4961,OUT,77,2023-12-02
797,1689,OUT,51,2023-03-24
798,2117,OUT,32,2023-05-20
799,2719,OUT,86,2023-11-15
800,2694,OUT,26,2023-09-23
801,2163,OUT,96,2023-01-24
802,3540,IN,62,2023-12-10
803,4549,IN,68,2023-12-28
804,4385,OUT,8,2023-12-15
805,1729,IN,35,2023-08-24
806,2879,OUT,45,2024-05-08
807,4069,OUT,94,2024-08-04
