product_id,product_name,brand,category,unit_cost,unit_price
74,born seem,STANLEY,Accessories,71.98,291.47
75,step news,BOSTITCH,Power Tools,112.51,30.83
76,stand join,PORTER CABLE,Accessories,42.62,230.98
77,resource program,BLACK+DECKER,Hand Tools,123.84,167.03
78,stage every,BLACK+DECKER,Hand Tools,92.38,123.21
79,east major,STANLEY,Power Tools,39.51,38.44
80,west generation,BLACK+DECKER,Accessories,43.14,194.21
81,policy by,BLACK+DECKER,Accessories,97.92,183.86
82,meeting population,BOSTITCH,Hand Tools,126.19,98.65
83,education quickly,STANLEY,Power Tools,68.19,274.86
84,media guy,BOSTITCH,Accessories,46.16,105.15
85,the blue,BOSTITCH,Hand Tools,131.38,145.92
86,why election,STANLEY,Outdoor,103.7,172.25
87,attention free,DEWALT,Power Tools,72.73,48.06
88,skin air,BOSTITCH,Outdoor,78.31,281.01
89,property prepare,PORTER CABLE,Power Tools,38.6,124.87
90,anyone project,PORTER CABLE,Hand Tools,97.75,42.62
91,order memory,BLACK+DECKER,Accessories,60.22,128.44
92,move several,PORTER CABLE,Accessories,149.39,188.06
93,task foot,BLACK+DECKER,Accessories,77.23,163.82
94,value three,DEWALT,Power Tools,78.02,214.47
95,program tonight,STANLEY,Hand Tools,89.22,35.54
96,computer huge,STANLEY,Outdoor,138.35,99.67
97,parent or,STANLEY,Hand Tools,122.11,249.38
98,general product,PORTER CABLE,Outdoor,73.16,42.37
99,build operation,DEWALT,Power Tools,110.62,259.54
100,discussion world,PORTER CABLE,Power Tools,92.07,45.73
101,street yourself,PORTER CABLE,Outdoor,78.93,253.65
102,performance commercial,DEWALT,Outdoor,36.92,121.02
103,little least,DEWALT,Outdoor,74.95,191.42
104,night it,DEWALT,Hand Tools,44.41,62.81
105,team born,DEWALT,Outdoor,138.08,38.53
106,ability loss,STANLEY,Power Tools,56.96,80.46
107,together machine,CRAFTSMAN,Power Tools,143.32,55.8
108,able write,CRAFTSMAN,Accessories,84.63,107.47
109,citizen general,DEWALT,Outdoor,98.42,164.03
110,hear how,CRAFTSMAN,Hand Tools,86.01,184.85
111,pull summer,CRAFTSMAN,Hand Tools,28.11,241.16
112,class manager,DEWALT,Hand Tools,62.61,203.75
113,gas agree,CRAFTSMAN,Accessories,23.88,190.45
114,well resource,PORTER CABLE,Power Tools,97.21,135.3
115,store clear,BLACK+DECKER,Hand Tools,72.56,152.67
116,author left,BLACK+DECKER,Power Tools,118.92,136.07
117,television step,DEWALT,Accessories,40.87,255.81
118,action decide,STANLEY,Outdoor,33.04,84.4
119,if artist,DEWALT,Outdoor,66.89,21.6
120,court mouth,STANLEY,Outdoor,139.72,202.37
121,glass cost,BLACK+DECKER,Hand Tools,109.46,76.69
122,arm student,DEWALT,Outdoor,68.65,269.23
123,really wish,BOSTITCH,Hand Tools,82.42,260.53
124,partner deal,PORTER CABLE,Accessories,21.79,41.48
125,represent arm,CRAFTSMAN,Accessories,147.84,49.79
126,station during,STANLEY,Hand Tools,103.3,158.65
127,if involve,BOSTITCH,Power Tools,49.96,190.58
128,card notice,CRAFTSMAN,Outdoor,92.01,96.97
129,evidence account,CRAFTSMAN,Outdoor,25.33,220.7
130,score rise,DEWALT,Outdoor,145.22,186.58
131,generation step,CRAFTSMAN,Hand Tools,34.47,110.95
132,itself evidence,PORTER CABLE,Accessories,100.72,27.1
133,develop step,BOSTITCH,Outdoor,44.36,230.04
134,experience few,CRAFTSMAN,Accessories,110.46,80.13
135,last fish,DEWALT,Outdoor,118.75,253.65
136,spring public,PORTER CABLE,Outdoor,104.28,137.68
137,per shoulder,BLACK+DECKER,Hand Tools,96.03,181.58
138,edge point,BOSTITCH,Power Tools,134.95,264.43
139,father player,CRAFTSMAN,Hand Tools,21.01,261.81
140,career hard,DEWALT,Outdoor,56.33,124.03
141,above side,BLACK+DECKER,Outdoor,44.76,78.49
142,opportunity final,BLACK+DECKER,Power Tools,148.32,237.04
143,class nation,STANLEY,Accessories,64.51,141.26
144,kind tough,PORTER CABLE,Accessories,112.57,73.77
145,standard while,CRAFTSMAN,Outdoor,105.86,273.24
146,single later,DEWALT,Accessories,39.69,75.47
147,wind country,STANLEY,Outdoor,43.46,27.23
148,interview wonder,PORTER CABLE,Power Tools,49.38,25.68
149,owner rest,STANLEY,Power Tools,67.56,194.25
150,police tell,BOSTITCH,Outdoor,42.81,205.27
151,according their,PORTER CABLE,Power Tools,12.75,107.09
152,view clearly,PORTER CABLE,Hand Tools,133.12,109.6
153,only us,CRAFTSMAN,Hand Tools,145.19,115.06
154,war will,PORTER CABLE,Power Tools,57.82,210.44
155,where huge,STANLEY,Outdoor,57.39,36.28
156,myself themselves,PORTER CABLE,Outdoor,10.99,280.15
157,fly process,CRAFTSMAN,Power Tools,105.24,82.31
158,son box,CRAFTSMAN,Accessories,125.56,299.91
159,short opportunity,BOSTITCH,Hand Tools,30.53,68.03
160,when seek,STANLEY,Accessories,32.35,236.03
161,add television,BLACK+DECKER,Outdoor,120.61,82.56
162,happy enjoy,BLACK+DECKER,Outdoor,96.28,42.64
163,argue occur,PORTER CABLE,Accessories,16.28,264.98
164,heavy manage,BOSTITCH,Power Tools,97.16,260.45
165,practice course,DEWALT,Accessories,53.25,133.0
166,job myself,PORTER CABLE,Accessories,61.62,216.67
167,around source,BOSTITCH,Hand Tools,117.76,175.98
168,test continue,STANLEY,Hand Tools,123.53,258.83
169,popular turn,STANLEY,Accessories,66.05,108.22
170,bag degree,STANLEY,Accessories,142.6,166.63
171,lead enter,STANLEY,Outdoor,66.9,155.9
172,economic get,STANLEY,Hand Tools,118.06,119.09
173,only relate,BOSTITCH,Hand Tools,77.74,269.61
174,direction reason,BOSTITCH,Outdoor,135.65,66.45
175,summer possible,CRAFTSMAN,Power Tools,137.09,61.86
176,budget third,BLACK+DECKER,Hand Tools,22.24,181.53
177,truth control,STANLEY,Hand Tools,141.11,204.1
178,girl prove,DEWALT,Power Tools,125.57,74.49
179,far east,BOSTITCH,Hand Tools,120.78,129.4
180,particularly include,DEWALT,Hand Tools,38.13,285.04
181,nature beat,DEWALT,Power Tools,122.72,89.05
182,themselves strategy,DEWALT,Power Tools,129.02,207.14
183,into almost,CRAFTSMAN,Accessories,50.48,227.24
184,against contain,BOSTITCH,Outdoor,143.32,145.48
185,design other,DEWALT,Outdoor,16.98,282.51
186,drop usually,STANLEY,Power Tools,30.99,226.26
187,several near,PORTER CABLE,Power Tools,85.26,148.22
188,management foreign,DEWALT,Hand Tools,90.61,179.41
189,maybe cultural,CRAFTSMAN,Accessories,100.32,213.93
190,end teacher,BOSTITCH,Accessories,12.38,185.81
191,between quite,CRAFTSMAN,Power Tools,144.45,266.04
192,talk clearly,DEWALT,Hand Tools,16.24,119.93
193,wear ahead,BOSTITCH,Hand Tools,30.03,103.97
194,compare similar,PORTER CABLE,Outdoor,11.96,79.87
195,voice doctor,DEWALT,Outdoor,89.36,30.58
196,sort compare,CRAFTSMAN,Hand Tools,140.52,32.04
197,may bit,BLACK+DECKER,Outdoor,103.23,263.62
198,understand strong,STANLEY,Power Tools,125.17,209.95
199,do story,CRAFTSMAN,Hand Tools,11.86,204.95
200,bag form,BOSTITCH,Outdoor,85.88,192.1
201,some writer,DEWALT,Accessories,74.34,257.78
202,door race,STANLEY,Hand Tools,79.86,154.47
203,security fight,DEWALT,Hand Tools,20.11,263.72
204,bag behavior,BOSTITCH,Accessories,105.82,120.64
205,positive most,DEWALT,Power Tools,80.45,279.48
206,bank fund,BLACK+DECKER,Accessories,117.12,215.62
207,difference memory,STANLEY,Hand Tools,77.94,92.01
208,control truth,STANLEY,Power Tools,30.91,177.94
209,TV college,BOSTITCH,Outdoor,100.76,169.25
210,phone necessary,BLACK+DECKER,Outdoor,34.13,58.61
211,would amount,CRAFTSMAN,Outdoor,132.14,185.55
212,option ground,DEWALT,Hand Tools,95.84,108.14
213,along guess,PORTER CABLE,Accessories,32.01,34.66
214,dinner especially,DEWALT,Power Tools,144.73,285.62
215,newspaper decade,DEWALT,Outdoor,82.57,199.62
216,share write,CRAFTSMAN,Power Tools,20.21,265.54
217,stand picture,DEWALT,Hand Tools,97.76,209.3
218,clear possible,BLACK+DECKER,Outdoor,45.45,119.96
219,surface imagine,BLACK+DECKER,Hand Tools,122.52,163.55
220,happen knowledge,STANLEY,Accessories,124.5,209.21
221,store street,BOSTITCH,Hand Tools,147.05,288.87
222,never nothing,PORTER CABLE,Hand Tools,80.26,91.03
223,another computer,DEWALT,Accessories,73.69,264.99
224,car personal,DEWALT,Power Tools,115.49,278.74
225,girl now,CRAFTSMAN,Accessories,28.55,207.72
226,Mrs design,BOSTITCH,Accessories,86.57,280.75
227,present Mr,BLACK+DECKER,Hand Tools,86.47,131.41
228,much federal,PORTER CABLE,Power Tools,22.53,286.84
229,wish per,STANLEY,Outdoor,68.52,216.78
230,off daughter,BLACK+DECKER,Accessories,129.46,31.76
231,race government,BOSTITCH,Power Tools,129.86,273.92
232,several toward,STANLEY,Accessories,23.89,155.65
233,amount its,CRAFTSMAN,Accessories,22.7,148.89
234,music whole,CRAFTSMAN,Accessories,46.78,178.61
235,door office,DEWALT,Accessories,132.47,61.83
236,space high,BOSTITCH,Hand Tools,28.05,151.37
237,beautiful piece,PORTER CABLE,Power Tools,110.8,252.72
238,technology defense,STANLEY,Power Tools,24.16,24.34
239,over contain,BLACK+DECKER,Power Tools,97.24,96.42
240,none no,BOSTITCH,Accessories,59.85,20.69
241,successful person,BOSTITCH,Hand Tools,120.45,136.4
242,contain brother,CRAFTSMAN,Accessories,42.72,223.93
243,value find,DEWALT,Accessories,99.49,243.66
244,approach star,DEWALT,Power Tools,43.0,284.65
245,job your,STANLEY,Accessories,109.91,190.38
246,generation but,CRAFTSMAN,Outdoor,132.31,91.3
247,force others,BOSTITCH,Accessories,27.75,278.76
248,return pattern,PORTER CABLE,Outdoor,131.32,237.09
249,cut statement,CRAFTSMAN,Accessories,93.1,180.84
250,include while,STANLEY,Hand Tools,27.8,214.78
251,create sure,STANLEY,Hand Tools,69.86,278.81
252,national enough,CRAFTSMAN,Power Tools,32.52,219.47
253,leg college,STANLEY,Accessories,108.05,123.14
254,next compare,CRAFTSMAN,Outdoor,116.24,219.65
255,kitchen article,BLACK+DECKER,Outdoor,24.81,31.28
256,through certainly,CRAFTSMAN,Accessories,80.86,128.2
257,where blue,CRAFTSMAN,Outdoor,124.05,133.77
258,movie democratic,STANLEY,Hand Tools,141.06,66.71
259,unit director,STANLEY,Outdoor,81.89,26.46
260,hair miss,DEWALT,Power Tools,143.04,57.35
261,bag clear,DEWALT,Hand Tools,85.0,203.29
262,worry water,BLACK+DECKER,Hand Tools,65.19,244.64
263,test population,DEWALT,Hand Tools,128.75,296.7
264,world treatment,CRAFTSMAN,Accessories,79.02,116.98
265,base push,STANLEY,Accessories,76.07,187.83
266,agent administration,DEWALT,Hand Tools,78.64,282.4
267,enter image,DEWALT,Accessories,128.55,66.77
268,theory plan,BLACK+DECKER,Outdoor,126.47,220.94
269,raise race,BOSTITCH,Accessories,66.49,231.39
270,close space,BLACK+DECKER,Accessories,56.66,44.91
271,better instead,CRAFTSMAN,Hand Tools,78.87,261.15
272,defense table,STANLEY,Power Tools,90.19,247.67
273,create bill,BLACK+DECKER,Power Tools,43.37,29.35
274,resource believe,DEWALT,Power Tools,121.15,45.5
275,authority physical,STANLEY,Outdoor,78.11,33.76
276,positive month,STANLEY,Accessories,56.77,113.73
277,call walk,DEWALT,Power Tools,24.95,162.6
278,door whatever,BLACK+DECKER,Hand Tools,43.44,169.06
279,degree here,DEWALT,Power Tools,142.9,94.95
280,eight mention,BOSTITCH,Power Tools,52.71,275.25
281,use doctor,STANLEY,Accessories,33.64,123.11
282,yourself try,PORTER CABLE,Accessories,74.49,32.75
283,mother around,PORTER CABLE,Accessories,52.99,104.06
284,garden Mr,CRAFTSMAN,Outdoor,14.92,168.71
285,create they,DEWALT,Outdoor,55.24,134.3
286,everyone country,DEWALT,Power Tools,86.18,96.68
287,meeting through,CRAFTSMAN,Accessories,87.24,56.77
288,job skin,CRAFTSMAN,Power Tools,59.92,249.37
289,visit piece,CRAFTSMAN,Hand Tools,72.62,298.92
290,nature focus,STANLEY,Hand Tools,145.17,112.27
291,bank class,BOSTITCH,Accessories,62.83,126.85
292,race mind,DEWALT,Accessories,46.15,193.05
293,spend short,STANLEY,Hand Tools,44.09,221.16
294,discuss do,CRAFTSMAN,Accessories,74.09,129.77
295,team money,DEWALT,Outdoor,116.33,273.38
296,serve stay,STANLEY,Outdoor,38.84,176.8
297,American force,BOSTITCH,Accessories,109.3,146.11
298,hospital power,STANLEY,Hand Tools,12.96,201.07
299,summer I,BOSTITCH,Power Tools,68.65,286.79
300,already important,CRAFTSMAN,Accessories,118.62,242.47
301,TV former,BOSTITCH,Accessories,57.42,31.2
302,four who,DEWALT,Power Tools,88.92,113.05
303,today stock,CRAFTSMAN,Accessories,38.7,151.75
304,movie yes,DEWALT,Power Tools,113.88,108.06
305,much respond,PORTER CABLE,Hand Tools,17.32,216.05
306,head guy,BLACK+DECKER,Outdoor,129.36,251.36
307,movement or,BOSTITCH,Hand Tools,37.75,224.78
308,player may,BLACK+DECKER,Outdoor,132.42,297.01
309,stand gas,BLACK+DECKER,Power Tools,59.35,96.31
310,option environment,BOSTITCH,Outdoor,111.18,265.0
311,blood he,CRAFTSMAN,Hand Tools,54.69,234.65
312,live single,PORTER CABLE,Outdoor,136.83,121.41
313,chair new,DEWALT,Power Tools,27.73,225.55
314,scientist box,STANLEY,Outdoor,34.99,49.14
315,model all,DEWALT,Accessories,79.02,241.01
316,local agent,STANLEY,Hand Tools,21.47,169.05
317,within clear,DEWALT,Accessories,37.44,101.84
318,child growth,BOSTITCH,Power Tools,142.13,203.62
319,consider unit,PORTER CABLE,Outdoor,146.71,199.65
320,care recently,STANLEY,Accessories,62.68,78.66
321,song establish,CRAFTSMAN,Accessories,139.26,28.51
322,scene three,DEWALT,Outdoor,86.28,141.41
323,water same,DEWALT,Outdoor,47.76,179.46
324,half human,STANLEY,Hand Tools,108.34,265.45
325,special answer,CRAFTSMAN,Accessories,102.25,279.9
326,rule catch,CRAFTSMAN,Accessories,148.48,168.07
327,require nothing,BOSTITCH,Power Tools,47.11,231.06
328,remember involve,BOSTITCH,Hand Tools,104.09,143.0
329,unit feel,BOSTITCH,Power Tools,17.28,228.9
330,capital deal,BOSTITCH,Accessories,25.91,77.34
331,agency tough,BOSTITCH,Power Tools,10.55,123.9
332,public way,BOSTITCH,Accessories,149.92,197.58
333,nation against,PORTER CABLE,Accessories,122.32,25.08
334,front director,CRAFTSMAN,Power Tools,120.14,222.29
335,second top,BOSTITCH,Power Tools,81.36,253.95
336,myself PM,CRAFTSMAN,Outdoor,52.01,131.76
337,film beautiful,CRAFTSMAN,Outdoor,31.18,145.42
338,activity form,BLACK+DECKER,Outdoor,49.85,258.36
339,vote choose,PORTER CABLE,Accessories,62.64,237.18
340,arrive politics,BOSTITCH,Power Tools,115.88,100.68
341,father reason,DEWALT,Hand Tools,85.55,110.71
342,attention make,STANLEY,Accessories,20.85,210.09
343,through apply,DEWALT,Hand Tools,12.52,177.7
344,only current,PORTER CABLE,Power Tools,24.33,65.42
345,security wide,STANLEY,Accessories,67.47,106.78
346,government either,PORTER CABLE,Hand Tools,140.65,272.0
347,reality small,CRAFTSMAN,Hand Tools,99.24,212.69
348,smile care,STANLEY,Outdoor,122.26,296.07
349,our risk,CRAFTSMAN,Outdoor,75.29,234.76
350,production bank,DEWALT,Outdoor,60.63,283.75
351,know benefit,DEWALT,Accessories,25.18,80.53
352,need say,STANLEY,Power Tools,132.63,236.02
353,who value,STANLEY,Power Tools,119.64,25.66
354,prepare consumer,BOSTITCH,Outdoor,33.54,207.81
355,what government,PORTER CABLE,Outdoor,81.72,151.4
356,hospital leader,BOSTITCH,Outdoor,78.23,117.09
357,alone paper,PORTER CABLE,Hand Tools,97.51,261.47
358,difference glass,BOSTITCH,Outdoor,142.47,259.19
359,want even,CRAFTSMAN,Hand Tools,91.17,26.24
360,we instead,STANLEY,Power Tools,85.63,190.66
361,seat majority,DEWALT,Accessories,17.05,122.99
362,interest without,PORTER CABLE,Accessories,18.81,136.39
363,north more,PORTER CABLE,Accessories,36.23,252.97
364,cost individual,DEWALT,Accessories,14.55,106.76
365,among story,BOSTITCH,Hand Tools,114.07,284.05
366,book fill,PORTER CABLE,Hand Tools,111.27,70.3
367,former exactly,CRAFTSMAN,Outdoor,29.05,205.56
368,book life,STANLEY,Hand Tools,127.05,208.19
369,marriage day,DEWALT,Outdoor,31.67,90.61
370,bank wait,STANLEY,Outdoor,52.16,110.93
371,dog first,PORTER CABLE,Accessories,44.86,253.74
372,individual same,PORTER CABLE,Hand Tools,62.12,233.31
373,tax imagine,DEWALT,Hand Tools,45.65,112.15
374,put bill,CRAFTSMAN,Outdoor,78.45,169.51
375,I positive,BLACK+DECKER,Outdoor,67.04,37.27
376,hair article,DEWALT,Power Tools,148.12,78.45
377,else week,BLACK+DECKER,Power Tools,17.83,156.03
378,practice try,BOSTITCH,Outdoor,29.91,44.07
379,radio say,BLACK+DECKER,Power Tools,17.4,256.13
380,debate establish,CRAFTSMAN,Power Tools,97.62,221.04
381,foreign difference,BOSTITCH,Outdoor,17.63,284.22
382,yet history,BLACK+DECKER,Outdoor,127.1,214.17
383,water three,BOSTITCH,Hand Tools,81.67,283.31
384,fire economy,BLACK+DECKER,Outdoor,83.78,175.26
385,material if,CRAFTSMAN,Outdoor,88.62,188.06
386,threat American,BLACK+DECKER,Accessories,33.91,293.55
387,after either,BLACK+DECKER,Hand Tools,37.68,199.8
388,front wind,BLACK+DECKER,Hand Tools,54.63,28.62
389,various option,DEWALT,Hand Tools,93.09,222.66
390,character open,DEWALT,Accessories,39.42,273.53
391,them realize,DEWALT,Outdoor,26.29,242.76
392,trip think,CRAFTSMAN,Hand Tools,145.82,183.47
393,detail write,BOSTITCH,Hand Tools,13.08,207.96
394,summer key,PORTER CABLE,Power Tools,122.38,297.25
395,western best,BLACK+DECKER,Hand Tools,120.32,45.39
396,science operation,BLACK+DECKER,Outdoor,51.61,206.83
397,marriage cell,CRAFTSMAN,Outdoor,28.99,99.35
398,Mrs ago,BLACK+DECKER,Power Tools,30.39,199.23
399,not old,DEWALT,Hand Tools,107.64,190.13
400,table against,PORTER CABLE,Hand Tools,99.99,62.97
401,a remember,STANLEY,Hand Tools,119.58,77.89
402,movement per,BLACK+DECKER,Accessories,141.25,194.06
403,subject pattern,DEWALT,Hand Tools,106.87,55.9
404,event appear,STANLEY,Outdoor,31.82,94.25
405,need story,PORTER CABLE,Outdoor,44.08,253.87
406,cut fear,STANLEY,Accessories,127.91,111.59
407,then ago,DEWALT,Accessories,39.3,156.66
408,star crime,BOSTITCH,Hand Tools,20.15,283.52
409,bad above,BOSTITCH,Power Tools,108.46,83.6
410,fine mean,STANLEY,Accessories,66.35,129.1
411,despite by,CRAFTSMAN,Accessories,138.81,189.81
412,six weight,STANLEY,Hand Tools,101.04,231.49
413,work fill,BLACK+DECKER,Hand Tools,22.66,272.46
414,would capital,BLACK+DECKER,Accessories,142.7,276.33
415,always hope,BOSTITCH,Power Tools,46.2,237.46
416,dream thousand,CRAFTSMAN,Accessories,57.21,83.93
417,strong star,DEWALT,Hand Tools,66.32,26.95
418,country religious,BLACK+DECKER,Hand Tools,17.17,127.46
419,it can,BOSTITCH,Accessories,79.51,59.63
420,big test,PORTER CABLE,Power Tools,27.26,218.91
421,without book,BOSTITCH,Accessories,66.14,205.12
422,it yard,BLACK+DECKER,Accessories,59.1,32.31
423,letter rise,BLACK+DECKER,Hand Tools,118.2,254.25
424,wonder hot,BOSTITCH,Power Tools,122.44,89.65
425,security simply,DEWALT,Outdoor,31.48,141.02
426,spend discuss,STANLEY,Power Tools,61.32,207.02
427,scene seven,BLACK+DECKER,Accessories,62.27,140.24
428,language wall,BOSTITCH,Accessories,31.2,143.56
429,daughter low,BOSTITCH,Accessories,121.78,38.38
430,office same,CRAFTSMAN,Power Tools,109.01,132.4
431,leave economic,STANLEY,Hand Tools,36.65,234.16
432,carry near,PORTER CABLE,Accessories,61.34,276.25
433,plant store,DEWALT,Accessories,24.81,135.78
434,many news,PORTER CABLE,Power Tools,97.95,138.6
435,share end,STANLEY,Outdoor,26.99,216.74
436,difficult day,STANLEY,Outdoor,148.03,283.98
437,from base,STANLEY,Hand Tools,119.3,94.78
438,newspaper ahead,PORTER CABLE,Hand Tools,64.63,143.24
439,feel story,STANLEY,Accessories,91.0,242.87
440,fund section,BOSTITCH,Power Tools,137.59,190.71
441,news student,PORTER CABLE,Accessories,87.57,50.96
442,eight personal,STANLEY,Hand Tools,34.43,195.77
443,front amount,BOSTITCH,Power Tools,63.02,72.29
444,safe notice,CRAFTSMAN,Power Tools,128.04,162.86
445,approach state,STANLEY,Hand Tools,100.19,168.15
446,entire arm,PORTER CABLE,Outdoor,101.1,265.34
447,positive exactly,BLACK+DECKER,Outdoor,131.36,149.5
448,by dog,STANLEY,Power Tools,135.16,98.24
449,rest network,BLACK+DECKER,Accessories,138.77,84.67
450,parent space,BOSTITCH,Outdoor,23.28,264.79
451,collection lay,CRAFTSMAN,Accessories,86.18,67.88
452,stage send,DEWALT,Outdoor,113.67,139.24
453,mean beyond,CRAFTSMAN,Outdoor,115.97,72.41
454,whom particularly,STANLEY,Accessories,94.94,236.53
455,lead never,BLACK+DECKER,Hand Tools,33.35,152.82
456,realize accept,BLACK+DECKER,Outdoor,121.64,118.32
457,half market,PORTER CABLE,Outdoor,110.82,121.11
458,detail general,BLACK+DECKER,Accessories,22.06,258.62
459,red hair,PORTER CABLE,Hand Tools,74.93,175.06
460,require property,BOSTITCH,Outdoor,34.36,221.0
461,school read,DEWALT,Outdoor,57.25,271.17
462,system police,STANLEY,Hand Tools,12.53,272.49
463,cover level,PORTER CABLE,Outdoor,66.05,111.98
464,suddenly art,DEWALT,Hand Tools,86.98,286.69
465,morning he,BLACK+DECKER,Hand Tools,96.74,26.97
466,smile second,BLACK+DECKER,Accessories,102.89,125.51
467,that data,DEWALT,Power Tools,127.08,270.82
468,PM in,BLACK+DECKER,Hand Tools,40.16,96.9
469,wait sort,BOSTITCH,Accessories,26.87,96.46
470,rich experience,BOSTITCH,Power Tools,129.22,104.73
471,single away,DEWALT,Outdoor,31.93,191.45
472,rich prevent,PORTER CABLE,Power Tools,146.47,142.73
473,list your,PORTER CABLE,Hand Tools,127.96,223.49
474,modern city,DEWALT,Hand Tools,80.12,270.57
475,artist mother,PORTER CABLE,Hand Tools,147.4,208.78
476,sense including,PORTER CABLE,Hand Tools,23.63,77.25
477,chair one,BOSTITCH,Hand Tools,52.43,281.15
478,capital game,PORTER CABLE,Accessories,99.35,94.06
479,kitchen serious,CRAFTSMAN,Hand Tools,59.0,61.97
480,write police,STANLEY,Accessories,139.97,45.19
481,real church,BLACK+DECKER,Outdoor,19.19,177.75
482,character reflect,CRAFTSMAN,Hand Tools,86.92,51.85
483,action try,PORTER CABLE,Hand Tools,92.72,58.86
484,result window,BOSTITCH,Power Tools,101.38,104.01
485,writer center,DEWALT,Outdoor,45.79,98.86
486,network trip,PORTER CABLE,Hand Tools,61.04,189.19
487,dark allow,BOSTITCH,Hand Tools,128.12,248.69
488,huge total,STANLEY,Outdoor,37.29,233.18
489,crime down,PORTER CABLE,Accessories,125.76,93.5
490,price floor,DEWALT,Hand Tools,88.77,88.69
491,bad process,BOSTITCH,Power Tools,116.71,290.42
492,of try,BOSTITCH,Hand Tools,109.91,22.31
493,organization song,BOSTITCH,Power Tools,39.05,266.32
